date	log_nox	wind
373	4.45725005591147	0.856446145417212
373	4.15182699763546	1.01661202038929
373	3.83406146395843	1.09544511501033
373	4.17284762371004	1.35406794511945
373	4.32280727501391	1.20415945787923
373	5.02618050543172	1.14760620423558
373	5.13726794502962	0.948683298050514
373	5.75066606055505	1.02469507659596
373	5.59897736029007	0.983107318658548
373	5.17981532246704	1.01661202038929
373	5.31664832323276	1.04880884817015
373	4.58445714439055	0.930859817588019
373	4.61115225766564	0.974679434480896
373	5.3468694071302	1.25179870586289
373	5.26217191991168	1.36014705087354
373	5.12396397940326	1.42003521083106
373	5.4424177105218	1.47207336773681
373	5.66243951112182	1.17622276801633
373	5.73398831671327	1.08004629530405
373	5.66313407617839	1.18321595661992
373	5.38655715539745	1.27808450424845
373	4.92253241254128	1.33547744271478
373	4.17361774311661	1.43770650690605
373	4.27318785463973	1.47766708023154
374	4.87557892976942	0.795927132343156
374	4.65633847256249	1.04091306073082
374	4.31882055877009	1.23166553901617
374	4.09933210373314	1.37840487520902
374	4.1782260462028	1.4142135623731
374	4.75960653929251	1.39032370331517
374	5.43415858945945	1.39642400437689
374	5.42340697738686	1.18321595661992
374	5.68476953547427	1.04880884817015
374	5.46510218419286	0.974679434480896
374	4.00186370942794	1.98746069143518
374	4.17438726989564	2.22856456042898
374	4.28634138453947	2.0976176963403
374	4.3141492122708	1.81659021245849
374	3.7796338173824	2.20975111720755
374	4.03600898520914	1.99587073729738
374	3.98434366700777	1.96214168703486
374	4.44029554279786	1.40231950710243
374	4.69134788222914	1.08004629530405
374	4.70592008908823	1.16918775224512
374	3.85862222870103	1.52757978515035
374	3.05635689537043	2
374	3.04213864636815	1.87523331881662
374	2.92316158071916	1.90604302155014
375	3.17596832385692	1.62788205960997
375	3.25809653802148	1.39642400437689
375	4.11414718951828	1
375	4.47106720146461	1.22474487139159
375	4.36373536470163	1.29112354172635
375	4.24706564923976	1.40249777183424
375	4.34898678059568	1.44343340684633
375	4.82711301672578	1.44913767461894
375	5.15329159449778	1.22474487139159
375	5.39453622428858	0.856446145417212
375	5.19987729373478	0.763871716978708
375	4.21212759787848	0.836660026534076
375	3.60956564739421	0.816394512475433
375	3.36901848329792	1.28452325786651
375	3.94061046228006	1.8349386910739
375	3.95220479506098	1.65332997311487
375	4.78289787377182	0.939946807005588
375	4.82631173463163	1.08004629530405
375	4.86019992616462	1.10295058819514
375	4.61363426440022	1.25159897730863
375	4.74710368187676	1.36638208419168
375	4.32941668440158	1.45481957644239
375	4.27039650600246	1.39642400437689
375	3.32323584019244	1.39642400437689
376	2.73436750941958	1.51657508881031
376	2.3174737054878	1.46628782986152
376	2.35137525716348	1.53850576859497
376	1.44691898293633	1.90617417881997
376	2.43361335540045	2.00412075484488
376	5.05528993463669	1.58650559406515
376	5.1149953094205	1.43178210632764
376	5.9156628336917	0.95734006497169
376	5.97406403242781	0.903603895520598
376	6.00153863267946	0.816394512475433
376	5.74684196411665	0.930859817588019
376	4.66955244491736	1.05688220724923
376	4.78665806203347	1.62788205960997
376	4.87824610605051	1.44913767461894
376	5.2252088947274	1.15477270490777
376	4.99348913526129	1.36014705087354
376	5.59805152002396	1.0876580344943
376	5.3986150878634	1.17622276801633
376	5.31419071570433	1.25159897730863
376	5.01595445557386	1.01661202038929
376	4.62790967295758	1.08004629530405
376	4.67888522381037	1.03271486868351
376	3.95124371858143	1.22474487139159
376	3.6454498961866	1.11040533139931
377	1.82454929205105	1.81659021245849
377	1.73165554515835	1.9706597879898
377	2.06686275947298	2.08973682553569
377	0.993251773010283	2.0412006270820102
377	1.64865862558738	1.48323969741913
377	4.58598736657132	1.47766708023154
377	5.1360925114532	1.32909743811355
377	5.61858762859297	1.29749759151992
377	4.56694897316789	1.63294213002176
377	4.02891675689965	1.97484176581315
377	4.5976419195673	1.90184121314057
377	3.90096205806872	1.94087609084145
377	3.32503602069659	1.87082869338697
377	4.21950770517611	1.7464249196573
377	4.8390558338342	1.69793992826602
377	4.87596039076965	1.5111254084291
377	4.81624115606803	1.37840487520902
377	5.21710731112249	1.24498995979887
